date,daily,index
2020-01-02,0.8206924030053843,FTSE
2020-01-03,0.238024505400211,FTSE
2020-01-06,-0.6179168976380014,FTSE
2020-01-07,-0.018479836257774884,FTSE
2020-01-08,0.013203237604657745,FTSE
2020-01-09,0.3062772617480296,FTSE
2020-01-10,-0.13424666519837913,FTSE
2020-01-13,0.3914152319296077,FTSE
2020-01-14,0.06300939847525483,FTSE
2020-01-15,0.267630972689414,FTSE
2020-01-16,-0.43177894020475394,FTSE
2020-01-17,0.8515374209637337,FTSE
2020-01-20,-0.30229843514642213,FTSE
2020-01-21,-0.5319249747926685,FTSE
2020-01-22,-0.509812395783122,FTSE
2020-01-23,-0.8478678776913362,FTSE
2020-01-24,1.042926634872101,FTSE
2020-01-27,-2.292379409438441,FTSE
2020-01-28,0.9255149835133872,FTSE
2020-01-29,0.03876512792128464,FTSE
2020-01-30,-1.357636654411192,FTSE
2020-01-31,-1.3004605797886752,FTSE
2020-02-03,0.5531128877298882,FTSE
2020-02-04,1.5492131501708317,FTSE
2020-02-05,0.5739427957631765,FTSE
2020-02-06,0.2980261276311347,FTSE
2020-02-07,-0.5076699044605535,FTSE
2020-02-10,-0.26518130476511304,FTSE
2020-02-11,0.7049913479554112,FTSE
2020-02-12,0.46670400908565923,FTSE
2020-02-13,-1.0936491700968398,FTSE
2020-02-14,-0.5756830649490086,FTSE
2020-02-17,0.3266214071872533,FTSE
2020-02-18,-0.6901350187098992,FTSE
2020-02-19,1.0159848279599026,FTSE
2020-02-20,-0.27356714496446444,FTSE
2020-02-21,-0.43971970482578693,FTSE
2020-02-24,-3.337431627529862,FTSE
2020-02-25,-1.9408102334084996,FTSE
2020-02-26,0.35053361181440074,FTSE
2020-02-27,-3.4944990841320536,FTSE
2020-02-28,-3.175207567413684,FTSE
2020-03-02,1.1290733807480824,FTSE
2020-03-03,0.9511832474140832,FTSE
2020-03-04,1.4497916134218376,FTSE
2020-03-05,-1.6168817773263635,FTSE
2020-03-06,-3.620959339465809,FTSE
2020-03-09,-7.687312930808552,FTSE
2020-03-10,-0.09386184892269114,FTSE
2020-03-11,-1.40431851719035,FTSE
2020-03-12,-10.873819450353102,FTSE
2020-03-13,2.4553717995226707,FTSE
2020-03-16,-4.006634167710228,FTSE
2020-03-17,2.7916328796606553,FTSE
2020-03-18,-4.047287162483553,FTSE
2020-03-19,1.3974727124842883,FTSE
2020-03-20,0.7609229414996367,FTSE
2020-03-23,-3.7932478692462217,FTSE
2020-03-24,9.053046854602332,FTSE
2020-03-25,4.447304351817855,FTSE
2020-03-26,2.2414822901640155,FTSE
2020-03-27,-5.251309038635901,FTSE
2020-03-30,0.9691013536422398,FTSE
2020-03-31,1.9465427899462804,FTSE
2020-04-01,-3.8328614598025412,FTSE
2020-04-02,0.4693304099302728,FTSE
2020-04-03,-1.1806173624648095,FTSE
2020-04-06,3.0818927522851096,FTSE
2020-04-07,2.1872330922808882,FTSE
2020-04-08,-0.4698011219212841,FTSE
2020-04-09,2.906106246069585,FTSE
2020-04-14,-0.8797369073290383,FTSE
2020-04-15,-3.3429388309831998,FTSE
2020-04-16,0.5484342842694839,FTSE
2020-04-17,2.817854110608644,FTSE
2020-04-20,0.44582348367028946,FTSE
2020-04-21,-2.955543124884888,FTSE
2020-04-22,2.2974667257578423,FTSE
2020-04-23,0.9704363332924201,FTSE
2020-04-24,-1.2769007954662541,FTSE
2020-04-27,1.6445813218084508,FTSE
2020-04-28,1.9104501389713713,FTSE
2020-04-29,2.631531509608117,FTSE
2020-04-30,-3.5010484657669094,FTSE
2020-05-01,-2.3402035592185237,FTSE
2020-05-04,-0.1613765654222763,FTSE
2020-05-05,1.6615123959809106,FTSE
2020-05-06,0.0752197331985311,FTSE
2020-05-07,1.4042194427248669,FTSE
2020-05-11,0.062334821428577304,FTSE
2020-05-12,0.9276496824937693,FTSE
2020-05-13,-1.5129730758373467,FTSE
2020-05-14,-2.754020008147902,FTSE
2020-05-15,1.0154106940694878,FTSE
2020-05-18,4.289808292788138,FTSE
2020-05-19,-0.7671180479486799,FTSE
2020-05-20,1.0829362215233476,FTSE
2020-05-21,-0.8554257043103997,FTSE
2020-05-22,-0.3660668747000206,FTSE
2020-01-02,0.837880287639969,S&P500
2020-01-03,-0.7059870561300454,S&P500
2020-01-06,0.3533372692313276,S&P500
2020-01-07,-0.2803238450998093,S&P500
2020-01-08,0.4902451310513047,S&P500
2020-01-09,0.6655262499467346,S&P500
2020-01-10,-0.2855178532355304,S&P500
2020-01-13,0.6976215203984591,S&P500
2020-01-14,-0.15145329342818883,S&P500
2020-01-15,0.18701969703727125,S&P500
2020-01-16,0.836655316913509,S&P500
2020-01-17,0.3862162069015851,S&P500
2020-01-21,-0.2651977609973083,S&P500
2020-01-22,0.02890760899442764,S&P500
2020-01-23,0.11409765936629725,S&P500
2020-01-24,-0.9042160866312152,S&P500
2020-01-27,-1.5730711690954722,S&P500
2020-01-28,1.0053584464402336,S&P500
2020-01-29,-0.08668742243146611,S&P500
2020-01-30,0.313435886453447,S&P500
2020-01-31,-1.7705820200054914,S&P500
2020-02-03,0.7254613784725513,S&P500
2020-02-04,1.4980414158696487,S&P500
2020-02-05,1.1250595741116314,S&P500
2020-02-06,0.3325672909990021,S&P500
2020-02-07,-0.5400853565797882,S&P500
2020-02-10,0.7326397818839206,S&P500
2020-02-11,0.1688472520551207,S&P500
2020-02-12,0.6462646415010068,S&P500
2020-02-13,-0.1630445806238237,S&P500
2020-02-14,0.18435334086464067,S&P500
2020-02-18,-0.29199426231169673,S&P500
